pattern_id,vehicle_key,vehicle_label,source,used_volume_cm3,used_weight_kg,space_utilization,weight_utilization,lambda,layer_count,count_G1,count_G2,count_G3,count_G4,count_G5
vehicle_2_pattern_025,vehicle_2,车型2,greedy_residual_1,18079000,2912,0.439342,0.2912,0.2912,3,80,100,30,0,39
vehicle_2_pattern_001,vehicle_2,车型2,full,17767000,2882,0.43176,0.2882,0.2882,3,61,100,30,0,50
vehicle_2_pattern_002,vehicle_2,车型2,heavy_bias,16615000,2840,0.403765,0.284,0.284,3,80,100,12,0,50
vehicle_2_pattern_004,vehicle_2,车型2,standard_bias,14635000,2435,0.355648,0.2435,0.2435,3,80,100,15,0,25
vehicle_2_pattern_005,vehicle_2,车型2,directed_bias,17661750,2429,0.429202,0.2429,0.2429,3,48,9,15,32,42
vehicle_2_pattern_011,vehicle_2,车型2,randomized_5,13375000,2396,0.325029,0.2396,0.2396,2,61,100,0,0,48
vehicle_2_pattern_008,vehicle_2,车型2,randomized_2,13634500,2167,0.331335,0.2167,0.2167,3,67,38,25,0,38
vehicle_2_pattern_007,vehicle_2,车型2,randomized_1,15561750,2162,0.378169,0.2162,0.2162,2,76,9,0,32,21
vehicle_2_pattern_013,vehicle_2,车型2,randomized_7,15177750,2144,0.368838,0.2144,0.2144,2,40,9,0,32,44
vehicle_2_pattern_010,vehicle_2,车型2,randomized_4,13649500,2127,0.331699,0.2127,0.2127,3,65,42,29,0,32
vehicle_2_pattern_003,vehicle_2,车型2,bulky_bias,14409750,1988,0.350174,0.1988,0.1988,2,48,9,0,32,30
vehicle_2_pattern_014,vehicle_2,车型2,randomized_8,13816750,1911,0.335764,0.1911,0.1911,2,38,13,0,31,32
vehicle_2_pattern_009,vehicle_2,车型2,randomized_3,13233750,1778,0.321596,0.1778,0.1778,2,41,9,0,32,23
vehicle_2_pattern_012,vehicle_2,车型2,randomized_6,14760000,1714,0.358686,0.1714,0.1714,2,0,48,27,37,0
vehicle_2_pattern_006,vehicle_2,车型2,fragile_bias,11935750,1664,0.290053,0.1664,0.1664,2,56,49,0,24,0
vehicle_2_pattern_026,vehicle_2,车型2,greedy_residual_2,10656000,1198,0.258954,0.1198,0.1198,3,0,0,0,40,11
vehicle_2_pattern_015,vehicle_2,车型2,single_type_G1,5760000,960,0.139975,0.096,0.096,1,80,0,0,0,0
vehicle_2_pattern_019,vehicle_2,车型2,single_type_G5,4800000,900,0.116646,0.09,0.09,1,0,0,0,0,50
vehicle_2_pattern_018,vehicle_2,车型2,single_type_G4,7680000,800,0.186633,0.08,0.08,1,0,0,0,32,0
vehicle_2_pattern_016,vehicle_2,车型2,single_type_G2,4375000,800,0.106318,0.08,0.08,1,0,100,0,0,0
vehicle_2_pattern_017,vehicle_2,车型2,single_type_G3,4200000,450,0.102065,0.045,0.045,1,0,0,30,0,0
vehicle_2_pattern_023,vehicle_2,车型2,singleton_G4,240000,25,0.005832,0.0025,0.0025,1,0,0,0,1,0
vehicle_2_pattern_024,vehicle_2,车型2,singleton_G5,96000,18,0.002333,0.0018,0.0018,1,0,0,0,0,1
vehicle_2_pattern_022,vehicle_2,车型2,singleton_G3,140000,15,0.003402,0.0015,0.0015,1,0,0,1,0,0
vehicle_2_pattern_020,vehicle_2,车型2,singleton_G1,72000,12,0.00175,0.0012,0.0012,1,1,0,0,0,0
vehicle_2_pattern_021,vehicle_2,车型2,singleton_G2,43750,8,0.001063,0.0008,0.0008,1,0,1,0,0,0
