vehicle_id,vehicle_key,vehicle_label,item_uid,item_type,x,y,z,dx,dy,dz,orientation_code,layer_id,support_id,support_area_ratio,block_id,category,unit_weight
1,vehicle_2,车型2,G5_001,G5,0,0,0,40,40,60,O1,1,floor,1.0,block_1,directed,18
1,vehicle_2,车型2,G5_002,G5,0,40,0,40,40,60,O1,1,floor,1.0,block_1,directed,18
1,vehicle_2,车型2,G5_003,G5,40,0,0,40,40,60,O1,1,floor,1.0,block_1,directed,18
1,vehicle_2,车型2,G5_004,G5,40,40,0,40,40,60,O1,1,floor,1.0,block_1,directed,18
1,vehicle_2,车型2,G5_005,G5,80,0,0,40,40,60,O1,1,floor,1.0,block_2,directed,18
1,vehicle_2,车型2,G5_006,G5,80,40,0,40,40,60,O1,1,floor,1.0,block_2,directed,18
1,vehicle_2,车型2,G5_007,G5,120,0,0,40,40,60,O1,1,floor,1.0,block_2,directed,18
1,vehicle_2,车型2,G5_008,G5,120,40,0,40,40,60,O1,1,floor,1.0,block_2,directed,18
1,vehicle_2,车型2,G5_009,G5,160,0,0,40,40,60,O1,1,floor,1.0,block_3,directed,18
1,vehicle_2,车型2,G5_010,G5,160,40,0,40,40,60,O1,1,floor,1.0,block_3,directed,18
1,vehicle_2,车型2,G5_011,G5,200,0,0,40,40,60,O1,1,floor,1.0,block_3,directed,18
1,vehicle_2,车型2,G5_012,G5,200,40,0,40,40,60,O1,1,floor,1.0,block_3,directed,18
1,vehicle_2,车型2,G5_013,G5,240,0,0,40,40,60,O1,1,floor,1.0,block_4,directed,18
1,vehicle_2,车型2,G5_014,G5,240,40,0,40,40,60,O1,1,floor,1.0,block_4,directed,18
1,vehicle_2,车型2,G5_015,G5,280,0,0,40,40,60,O1,1,floor,1.0,block_4,directed,18
1,vehicle_2,车型2,G5_016,G5,280,40,0,40,40,60,O1,1,floor,1.0,block_4,directed,18
1,vehicle_2,车型2,G5_017,G5,320,0,0,40,40,60,O1,1,floor,1.0,block_5,directed,18
1,vehicle_2,车型2,G5_018,G5,320,40,0,40,40,60,O1,1,floor,1.0,block_5,directed,18
1,vehicle_2,车型2,G5_019,G5,360,0,0,40,40,60,O1,1,floor,1.0,block_5,directed,18
1,vehicle_2,车型2,G5_020,G5,360,40,0,40,40,60,O1,1,floor,1.0,block_5,directed,18
1,vehicle_2,车型2,G5_021,G5,400,0,0,40,40,60,O1,1,floor,1.0,block_6,directed,18
1,vehicle_2,车型2,G5_022,G5,400,40,0,40,40,60,O1,1,floor,1.0,block_6,directed,18
1,vehicle_2,车型2,G5_023,G5,440,0,0,40,40,60,O1,1,floor,1.0,block_6,directed,18
1,vehicle_2,车型2,G5_024,G5,440,40,0,40,40,60,O1,1,floor,1.0,block_6,directed,18
1,vehicle_2,车型2,G5_025,G5,480,0,0,40,40,60,O1,1,floor,1.0,block_7,directed,18
1,vehicle_2,车型2,G5_026,G5,480,40,0,40,40,60,O1,1,floor,1.0,block_7,directed,18
1,vehicle_2,车型2,G5_027,G5,520,0,0,40,40,60,O1,1,floor,1.0,block_7,directed,18
1,vehicle_2,车型2,G5_028,G5,520,40,0,40,40,60,O1,1,floor,1.0,block_7,directed,18
1,vehicle_2,车型2,G5_029,G5,560,0,0,40,40,60,O1,1,floor,1.0,block_8,directed,18
1,vehicle_2,车型2,G5_030,G5,560,40,0,40,40,60,O1,1,floor,1.0,block_8,directed,18
1,vehicle_2,车型2,G5_031,G5,600,0,0,40,40,60,O1,1,floor,1.0,block_8,directed,18
1,vehicle_2,车型2,G5_032,G5,600,40,0,40,40,60,O1,1,floor,1.0,block_8,directed,18
1,vehicle_2,车型2,G5_033,G5,640,0,0,40,40,60,O1,1,floor,1.0,block_9,directed,18
1,vehicle_2,车型2,G5_034,G5,640,40,0,40,40,60,O1,1,floor,1.0,block_9,directed,18
1,vehicle_2,车型2,G5_035,G5,0,80,0,40,40,60,O1,1,floor,1.0,block_10,directed,18
1,vehicle_2,车型2,G5_036,G5,0,120,0,40,40,60,O1,1,floor,1.0,block_10,directed,18
1,vehicle_2,车型2,G5_037,G5,40,80,0,40,40,60,O1,1,floor,1.0,block_10,directed,18
1,vehicle_2,车型2,G5_038,G5,40,120,0,40,40,60,O1,1,floor,1.0,block_10,directed,18
1,vehicle_2,车型2,G5_039,G5,80,80,0,40,40,60,O1,1,floor,1.0,block_11,directed,18
1,vehicle_2,车型2,G5_040,G5,80,120,0,40,40,60,O1,1,floor,1.0,block_11,directed,18
1,vehicle_2,车型2,G5_041,G5,120,80,0,40,40,60,O1,1,floor,1.0,block_11,directed,18
1,vehicle_2,车型2,G5_042,G5,120,120,0,40,40,60,O1,1,floor,1.0,block_11,directed,18
1,vehicle_2,车型2,G5_043,G5,160,80,0,40,40,60,O1,1,floor,1.0,block_12,directed,18
1,vehicle_2,车型2,G5_044,G5,160,120,0,40,40,60,O1,1,floor,1.0,block_12,directed,18
1,vehicle_2,车型2,G5_045,G5,200,80,0,40,40,60,O1,1,floor,1.0,block_12,directed,18
1,vehicle_2,车型2,G5_046,G5,200,120,0,40,40,60,O1,1,floor,1.0,block_12,directed,18
1,vehicle_2,车型2,G5_047,G5,240,80,0,40,40,60,O1,1,floor,1.0,block_13,directed,18
1,vehicle_2,车型2,G5_048,G5,240,120,0,40,40,60,O1,1,floor,1.0,block_13,directed,18
1,vehicle_2,车型2,G5_049,G5,280,80,0,40,40,60,O1,1,floor,1.0,block_13,directed,18
1,vehicle_2,车型2,G5_050,G5,280,120,0,40,40,60,O1,1,floor,1.0,block_13,directed,18
1,vehicle_2,车型2,G1_001,G1,320,80,0,40,30,60,O4,1,floor,1.0,block_14,standard,12
1,vehicle_2,车型2,G1_002,G1,320,110,0,40,30,60,O4,1,floor,1.0,block_14,standard,12
1,vehicle_2,车型2,G1_003,G1,360,80,0,40,30,60,O4,1,floor,1.0,block_14,standard,12
1,vehicle_2,车型2,G1_004,G1,360,110,0,40,30,60,O4,1,floor,1.0,block_14,standard,12
1,vehicle_2,车型2,G1_005,G1,400,80,0,40,30,60,O4,1,floor,1.0,block_15,standard,12
1,vehicle_2,车型2,G1_006,G1,400,110,0,40,30,60,O4,1,floor,1.0,block_15,standard,12
1,vehicle_2,车型2,G1_007,G1,440,80,0,40,30,60,O4,1,floor,1.0,block_15,standard,12
1,vehicle_2,车型2,G1_008,G1,440,110,0,40,30,60,O4,1,floor,1.0,block_15,standard,12
1,vehicle_2,车型2,G1_009,G1,480,80,0,40,30,60,O4,1,floor,1.0,block_16,standard,12
1,vehicle_2,车型2,G1_010,G1,480,110,0,40,30,60,O4,1,floor,1.0,block_16,standard,12
1,vehicle_2,车型2,G1_011,G1,520,80,0,40,30,60,O4,1,floor,1.0,block_16,standard,12
1,vehicle_2,车型2,G1_012,G1,520,110,0,40,30,60,O4,1,floor,1.0,block_16,standard,12
1,vehicle_2,车型2,G1_013,G1,560,80,0,40,30,60,O4,1,floor,1.0,block_17,standard,12
1,vehicle_2,车型2,G1_014,G1,560,110,0,40,30,60,O4,1,floor,1.0,block_17,standard,12
1,vehicle_2,车型2,G1_015,G1,600,80,0,40,30,60,O4,1,floor,1.0,block_17,standard,12
1,vehicle_2,车型2,G1_016,G1,600,110,0,40,30,60,O4,1,floor,1.0,block_17,standard,12
1,vehicle_2,车型2,G1_017,G1,640,80,0,40,30,60,O4,1,floor,1.0,block_18,standard,12
1,vehicle_2,车型2,G1_018,G1,640,110,0,40,30,60,O4,1,floor,1.0,block_18,standard,12
1,vehicle_2,车型2,G1_019,G1,320,140,0,40,30,60,O4,1,floor,1.0,block_19,standard,12
1,vehicle_2,车型2,G1_020,G1,320,170,0,40,30,60,O4,1,floor,1.0,block_19,standard,12
1,vehicle_2,车型2,G1_021,G1,360,140,0,40,30,60,O4,1,floor,1.0,block_19,standard,12
1,vehicle_2,车型2,G1_022,G1,360,170,0,40,30,60,O4,1,floor,1.0,block_19,standard,12
1,vehicle_2,车型2,G1_023,G1,400,140,0,40,30,60,O4,1,floor,1.0,block_20,standard,12
1,vehicle_2,车型2,G1_024,G1,400,170,0,40,30,60,O4,1,floor,1.0,block_20,standard,12
1,vehicle_2,车型2,G1_025,G1,440,140,0,40,30,60,O4,1,floor,1.0,block_20,standard,12
1,vehicle_2,车型2,G1_026,G1,440,170,0,40,30,60,O4,1,floor,1.0,block_20,standard,12
1,vehicle_2,车型2,G1_027,G1,480,140,0,40,30,60,O4,1,floor,1.0,block_21,standard,12
1,vehicle_2,车型2,G1_028,G1,480,170,0,40,30,60,O4,1,floor,1.0,block_21,standard,12
